"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2087","Create course","LMS system","2026-06-25","passed","2026-06-25","Courses","Courses","",""
"","1456","User login with wrong email or password","LMS system","2026-06-25","passed","2026-06-25","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","2026-06-25","passed","2026-06-25","TestUserAuthentification","test_markers","",""
"","1275","Navigation login page to registration page","LMS system","2026-06-25","passed","2026-06-25","Authorization","Authentication","",""
"","1482","Check displaying of empty courses list","LMS system","2026-06-25","passed","2026-06-25","Courses","Courses","",""
"","1634","Registration with correct email, username and password","LMS system","2026-06-25","passed","2026-06-25","Registration","Authentication","",""
"","0","test_logout","tests.pytest","2026-06-25","passed","2026-06-25","TestUserAuthentification","test_markers","",""
"","3236","User login with correct email and password","LMS system","2026-06-25","passed","2026-06-25","Authorization","Authentication","",""
"","1422","Check displaying of dashboard page","LMS system","2026-06-25","passed","2026-06-25","Dashboard","Dashboard","",""
"","0","test_critical_login","tests.pytest","2026-06-25","passed","2026-06-25","","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-06-25","passed","2026-06-25","TestUserInterface","test_markers","",""
"","1","test_regression_case","tests.pytest","2026-06-25","passed","2026-06-25","","test_markers","",""
"","2471","Edit course","LMS system","2026-06-25","passed","2026-06-25","Courses","Courses","",""
"","1848","User login with wrong email or password","LMS system","2026-06-25","passed","2026-06-25","Authorization","Authentication","",""
"","1667","User login with wrong email or password","LMS system","2026-06-25","passed","2026-06-25","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-06-25","passed","2026-06-25","TestUserAuthentification","test_markers","",""
