"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 05 11:49:14 UTC 2026","Fri Jun 05 11:49:15 UTC 2026","1420","LMS system","Authentication","Authorization","","","Navigation login page to registration page",""
"passed","Fri Jun 05 11:49:15 UTC 2026","Fri Jun 05 11:49:17 UTC 2026","1765","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Jun 05 11:49:18 UTC 2026","Fri Jun 05 11:49:21 UTC 2026","2714","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Jun 05 11:49:21 UTC 2026","Fri Jun 05 11:49:21 UTC 2026","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Fri Jun 05 11:49:12 UTC 2026","Fri Jun 05 11:49:13 UTC 2026","1831","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 11:49:21 UTC 2026","Fri Jun 05 11:49:21 UTC 2026","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Fri Jun 05 11:49:13 UTC 2026","Fri Jun 05 11:49:15 UTC 2026","1667","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 11:49:09 UTC 2026","Fri Jun 05 11:49:13 UTC 2026","3726","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Jun 05 11:49:17 UTC 2026","Fri Jun 05 11:49:18 UTC 2026","1732","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Jun 05 11:49:21 UTC 2026","Fri Jun 05 11:49:21 UTC 2026","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Fri Jun 05 11:49:09 UTC 2026","Fri Jun 05 11:49:11 UTC 2026","2173","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 11:49:22 UTC 2026","Fri Jun 05 11:49:24 UTC 2026","1431","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Jun 05 11:49:21 UTC 2026","Fri Jun 05 11:49:21 UTC 2026","1","tests.pytest","test_markers","TestUserAuthentification","","","test_password_reset",""
"passed","Fri Jun 05 11:49:19 UTC 2026","Fri Jun 05 11:49:22 UTC 2026","2775","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Jun 05 11:49:21 UTC 2026","Fri Jun 05 11:49:21 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_login",""
"passed","Fri Jun 05 11:49:21 UTC 2026","Fri Jun 05 11:49:21 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_logout",""
