"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 05 11:17:04 UTC 2026","Fri Jun 05 11:17:06 UTC 2026","2065","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 11:17:16 UTC 2026","Fri Jun 05 11:17:16 UTC 2026","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Fri Jun 05 11:17:16 UTC 2026","Fri Jun 05 11:17:16 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_password_reset",""
"passed","Fri Jun 05 11:17:14 UTC 2026","Fri Jun 05 11:17:16 UTC 2026","2578","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Jun 05 11:17:10 UTC 2026","Fri Jun 05 11:17:12 UTC 2026","1914","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Jun 05 11:17:16 UTC 2026","Fri Jun 05 11:17:16 UTC 2026","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Fri Jun 05 11:17:08 UTC 2026","Fri Jun 05 11:17:10 UTC 2026","1474","LMS system","Authentication","Authorization","","","Navigation login page to registration page",""
"passed","Fri Jun 05 11:17:08 UTC 2026","Fri Jun 05 11:17:10 UTC 2026","1716","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 11:17:16 UTC 2026","Fri Jun 05 11:17:16 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_logout",""
"passed","Fri Jun 05 11:17:07 UTC 2026","Fri Jun 05 11:17:08 UTC 2026","1626","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 11:17:16 UTC 2026","Fri Jun 05 11:17:16 UTC 2026","1","tests.pytest","test_markers","TestUserAuthentification","","","test_login",""
"passed","Fri Jun 05 11:17:04 UTC 2026","Fri Jun 05 11:17:08 UTC 2026","3399","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Fri Jun 05 11:17:16 UTC 2026","Fri Jun 05 11:17:16 UTC 2026","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Fri Jun 05 11:17:17 UTC 2026","Fri Jun 05 11:17:18 UTC 2026","1399","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Jun 05 11:17:12 UTC 2026","Fri Jun 05 11:17:13 UTC 2026","1470","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Jun 05 11:17:13 UTC 2026","Fri Jun 05 11:17:15 UTC 2026","2230","LMS system","Courses","Courses","","","Create course",""
