"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 09 07:36:30 UTC 2026","Tue Jun 09 07:36:33 UTC 2026","3259","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Jun 09 07:36:30 UTC 2026","Tue Jun 09 07:36:32 UTC 2026","1913","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 09 07:36:39 UTC 2026","Tue Jun 09 07:36:41 UTC 2026","2434","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Jun 09 07:36:36 UTC 2026","Tue Jun 09 07:36:37 UTC 2026","1590","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Jun 09 07:36:41 UTC 2026","Tue Jun 09 07:36:41 UTC 2026","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Tue Jun 09 07:36:41 UTC 2026","Tue Jun 09 07:36:41 UTC 2026","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Tue Jun 09 07:36:41 UTC 2026","Tue Jun 09 07:36:41 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_logout",""
"passed","Tue Jun 09 07:36:42 UTC 2026","Tue Jun 09 07:36:43 UTC 2026","1406","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jun 09 07:36:37 UTC 2026","Tue Jun 09 07:36:38 UTC 2026","1468","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Jun 09 07:36:38 UTC 2026","Tue Jun 09 07:36:40 UTC 2026","2137","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jun 09 07:36:32 UTC 2026","Tue Jun 09 07:36:34 UTC 2026","1633","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 09 07:36:34 UTC 2026","Tue Jun 09 07:36:35 UTC 2026","1312","LMS system","Authentication","Authorization","","","Navigation login page to registration page",""
"passed","Tue Jun 09 07:36:41 UTC 2026","Tue Jun 09 07:36:41 UTC 2026","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Tue Jun 09 07:36:34 UTC 2026","Tue Jun 09 07:36:35 UTC 2026","1400","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 09 07:36:41 UTC 2026","Tue Jun 09 07:36:41 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_password_reset",""
"passed","Tue Jun 09 07:36:41 UTC 2026","Tue Jun 09 07:36:41 UTC 2026","1","tests.pytest","test_markers","TestUserAuthentification","","","test_login",""
