"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 05 11:44:59 UTC 2026","Fri Jun 05 11:44:59 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_login",""
"passed","Fri Jun 05 11:44:59 UTC 2026","Fri Jun 05 11:44:59 UTC 2026","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Fri Jun 05 11:44:59 UTC 2026","Fri Jun 05 11:44:59 UTC 2026","1","tests.pytest","test_markers","TestUserAuthentification","","","test_logout",""
"passed","Fri Jun 05 11:44:56 UTC 2026","Fri Jun 05 11:44:59 UTC 2026","2258","LMS system","Courses","Courses","","","Create course",""
"passed","Fri Jun 05 11:44:59 UTC 2026","Fri Jun 05 11:44:59 UTC 2026","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Fri Jun 05 11:44:50 UTC 2026","Fri Jun 05 11:44:52 UTC 2026","1740","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 11:44:55 UTC 2026","Fri Jun 05 11:44:56 UTC 2026","1565","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Fri Jun 05 11:44:51 UTC 2026","Fri Jun 05 11:44:53 UTC 2026","1510","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 11:44:59 UTC 2026","Fri Jun 05 11:44:59 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_password_reset",""
"passed","Fri Jun 05 11:45:00 UTC 2026","Fri Jun 05 11:45:02 UTC 2026","1528","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Fri Jun 05 11:44:48 UTC 2026","Fri Jun 05 11:44:50 UTC 2026","1902","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Fri Jun 05 11:44:52 UTC 2026","Fri Jun 05 11:44:53 UTC 2026","1425","LMS system","Authentication","Authorization","","","Navigation login page to registration page",""
"passed","Fri Jun 05 11:44:54 UTC 2026","Fri Jun 05 11:44:55 UTC 2026","1723","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Fri Jun 05 11:44:57 UTC 2026","Fri Jun 05 11:45:00 UTC 2026","2574","LMS system","Courses","Courses","","","Edit course",""
"passed","Fri Jun 05 11:44:59 UTC 2026","Fri Jun 05 11:44:59 UTC 2026","1","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Fri Jun 05 11:44:48 UTC 2026","Fri Jun 05 11:44:51 UTC 2026","3364","LMS system","Authentication","Authorization","","","User login with correct email and password",""
