"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 09 07:45:38 UTC 2026","Tue Jun 09 07:45:40 UTC 2026","1627","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Tue Jun 09 07:45:33 UTC 2026","Tue Jun 09 07:45:36 UTC 2026","2837","LMS system","Courses","Courses","","","Create course",""
"passed","Tue Jun 09 07:45:31 UTC 2026","Tue Jun 09 07:45:33 UTC 2026","1637","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Tue Jun 09 07:45:30 UTC 2026","Tue Jun 09 07:45:32 UTC 2026","2023","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Tue Jun 09 07:45:36 UTC 2026","Tue Jun 09 07:45:36 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_logout",""
"passed","Tue Jun 09 07:45:24 UTC 2026","Tue Jun 09 07:45:27 UTC 2026","3570","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Tue Jun 09 07:45:36 UTC 2026","Tue Jun 09 07:45:36 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_login",""
"passed","Tue Jun 09 07:45:36 UTC 2026","Tue Jun 09 07:45:36 UTC 2026","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Tue Jun 09 07:45:36 UTC 2026","Tue Jun 09 07:45:36 UTC 2026","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Tue Jun 09 07:45:34 UTC 2026","Tue Jun 09 07:45:38 UTC 2026","3519","LMS system","Courses","Courses","","","Edit course",""
"passed","Tue Jun 09 07:45:36 UTC 2026","Tue Jun 09 07:45:36 UTC 2026","0","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Tue Jun 09 07:45:29 UTC 2026","Tue Jun 09 07:45:30 UTC 2026","1298","LMS system","Authentication","Authorization","","","Navigation login page to registration page",""
"passed","Tue Jun 09 07:45:26 UTC 2026","Tue Jun 09 07:45:28 UTC 2026","2021","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 09 07:45:36 UTC 2026","Tue Jun 09 07:45:36 UTC 2026","0","tests.pytest","test_markers","TestUserAuthentification","","","test_password_reset",""
"passed","Tue Jun 09 07:45:24 UTC 2026","Tue Jun 09 07:45:26 UTC 2026","2074","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Tue Jun 09 07:45:28 UTC 2026","Tue Jun 09 07:45:29 UTC 2026","1538","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
