"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3058","User login with correct email and password","LMS system","2026-06-05","passed","2026-06-05","Authorization","Authentication","",""
"","1829","User login with wrong email or password","LMS system","2026-06-05","passed","2026-06-05","Authorization","Authentication","",""
"","1871","Registration with correct email, username and password","LMS system","2026-06-05","passed","2026-06-05","Registration","Authentication","",""
"","1559","User login with wrong email or password","LMS system","2026-06-05","passed","2026-06-05","Authorization","Authentication","",""
"","2275","Create course","LMS system","2026-06-05","passed","2026-06-05","Courses","Courses","",""
"","1482","Check displaying of dashboard page","LMS system","2026-06-05","passed","2026-06-05","Dashboard","Dashboard","",""
"","0","test_forgot_password_link","tests.pytest","2026-06-05","passed","2026-06-05","TestUserInterface","test_markers","",""
"","2535","Edit course","LMS system","2026-06-05","passed","2026-06-05","Courses","Courses","",""
"","1453","Navigation login page to registration page","LMS system","2026-06-05","passed","2026-06-05","Authorization","Authentication","",""
"","1768","User login with wrong email or password","LMS system","2026-06-05","passed","2026-06-05","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-06-05","passed","2026-06-05","","test_markers","",""
"","0","test_logout","tests.pytest","2026-06-05","passed","2026-06-05","TestUserAuthentification","test_markers","",""
"","1482","Check displaying of empty courses list","LMS system","2026-06-05","passed","2026-06-05","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","2026-06-05","passed","2026-06-05","TestUserAuthentification","test_markers","",""
"","0","test_regression_case","tests.pytest","2026-06-05","passed","2026-06-05","","test_markers","",""
"","0","test_login","tests.pytest","2026-06-05","passed","2026-06-05","TestUserAuthentification","test_markers","",""
