"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1728","Navigation login page to registration page","LMS system","2026-06-25","passed","2026-06-25","Authorization","Authentication","",""
"","1","test_critical_login","tests.pytest","2026-06-25","passed","2026-06-25","","test_markers","",""
"","2112","User login with wrong email or password","LMS system","2026-06-25","passed","2026-06-25","Authorization","Authentication","",""
"","3695","User login with correct email and password","LMS system","2026-06-25","passed","2026-06-25","Authorization","Authentication","",""
"","1624","Check displaying of empty courses list","LMS system","2026-06-25","passed","2026-06-25","Courses","Courses","",""
"","3196","Edit course","LMS system","2026-06-25","passed","2026-06-25","Courses","Courses","",""
"","1568","Check displaying of dashboard page","LMS system","2026-06-25","passed","2026-06-25","Dashboard","Dashboard","",""
"","2029","Registration with correct email, username and password","LMS system","2026-06-25","passed","2026-06-25","Registration","Authentication","",""
"","1764","User login with wrong email or password","LMS system","2026-06-25","passed","2026-06-25","Authorization","Authentication","",""
"","2719","Create course","LMS system","2026-06-25","passed","2026-06-25","Courses","Courses","",""
"","1938","User login with wrong email or password","LMS system","2026-06-25","passed","2026-06-25","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-06-25","passed","2026-06-25","TestUserAuthentification","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-06-25","passed","2026-06-25","TestUserAuthentification","test_markers","",""
"","0","test_logout","tests.pytest","2026-06-25","passed","2026-06-25","TestUserAuthentification","test_markers","",""
"","1","test_regression_case","tests.pytest","2026-06-25","passed","2026-06-25","","test_markers","",""
"","1","test_forgot_password_link","tests.pytest","2026-06-25","passed","2026-06-25","TestUserInterface","test_markers","",""
